性別,年齢,個人/グループ,旅行の目的,Wifi設備,送迎の便利さ,オンライン予約のしやすさ,ホテルの立地,食事の満足度,滞在時の快適さ,チェックイン・アウトの接客,その他のサービス,清潔さ,満足度
女性,50,グループ,学生,4,4,4,4,3,4,4,4,4,4
女性,35,個人,ビジネス,4,5,4,4,1,1,5,4,1,2
女性,22,グループ,その他,1,1,1,4,1,5,1,3,1,3
男性,30,個人,航空関係,3,4,3,4,5,1,4,4,5,3
男性,59,グループ,航空関係,4,3,3,3,4,4,3,5,4,4
男性,52,グループ,学生,2,3,3,3,2,2,1,3,2,2
男性,10,個人,旅行,2,5,1,3,3,3,5,5,3,3
女性,19,個人,航空関係,3,5,2,4,2,5,5,5,5,4
女性,24,グループ,その他,4,2,3,4,1,1,4,4,1,2
女性,39,グループ,航空関係,5,5,5,5,3,5,5,4,5,5
女性,55,グループ,旅行,3,5,5,5,1,3,2,3,4,3
女性,59,個人,その他,1,3,1,3,3,3,4,4,2,2
男性,30,グループ,ビジネス,1,1,1,1,4,4,4,4,4,3
男性,58,グループ,旅行,2,2,2,2,2,4,3,4,4,3
男性,12,グループ,学生,2,2,2,4,2,2,1,4,2,2
男性,41,個人,その他,4,5,4,3,1,1,2,5,1,2
男性,66,個人,旅行,5,1,5,4,4,4,1,3,4,4
男性,54,グループ,その他,5,5,2,5,5,5,4,5,3,5
女性,67,個人,学生,4,4,4,4,5,5,5,2,5,4
男性,33,個人,学生,4,5,4,3,4,4,5,5,4,4
男性,18,個人,旅行,1,0,1,5,2,4,3,5,2,3
男性,17,個人,ビジネス,4,4,4,1,2,2,5,5,2,3
女性,34,グループ,学生,4,2,2,2,1,3,4,4,3,3
男性,55,グループ,ビジネス,1,1,1,1,2,4,3,5,3,3
女性,39,グループ,学生,3,3,3,4,4,4,2,1,4,3
女性,24,グループ,旅行,5,5,5,2,3,3,5,4,3,4
男性,55,グループ,航空関係,3,3,3,3,3,3,3,3,3,3
女性,47,個人,旅行,3,4,3,2,5,5,3,2,3,4
男性,27,グループ,旅行,2,2,2,3,4,5,4,4,4,4
男性,47,個人,航空関係,2,4,3,1,3,1,1,4,1,2
女性,56,グループ,ビジネス,2,2,2,2,5,5,3,4,4,4
男性,18,グループ,ビジネス,2,2,2,3,5,5,1,4,5,4
男性,56,グループ,航空関係,3,3,3,3,3,3,1,3,3,3
女性,61,グループ,ビジネス,4,2,2,2,4,3,2,4,1,3
男性,53,グループ,旅行,3,2,3,3,2,5,5,4,5,4
女性,43,個人,ビジネス,2,4,2,3,4,5,5,5,4,4
女性,26,グループ,学生,3,1,3,3,3,3,1,3,3,3
男性,45,グループ,ビジネス,5,5,5,5,1,2,1,4,4,3
女性,41,グループ,旅行,1,1,1,1,5,5,3,4,4,4
女性,49,グループ,ビジネス,5,5,5,5,5,4,3,5,5,5
男性,38,グループ,旅行,3,1,1,1,3,4,1,3,4,4
女性,23,グループ,旅行,5,5,5,2,3,3,4,4,3,4
女性,51,グループ,航空関係,3,3,3,3,3,5,3,5,4,4
女性,38,グループ,旅行,4,4,4,4,5,5,4,5,3,5
女性,22,グループ,旅行,1,1,1,1,3,3,2,5,3,3
女性,53,個人,ビジネス,2,1,2,2,4,1,3,1,2,1
男性,22,グループ,学生,3,0,3,3,5,5,2,3,5,4
女性,47,グループ,学生,4,5,5,5,2,3,3,4,1,3
男性,30,グループ,学生,2,3,3,3,2,2,4,4,2,2
男性,55,グループ,ビジネス,5,1,1,1,5,5,2,2,5,5
男性,77,グループ,ビジネス,4,4,4,4,4,4,4,2,4,4
女性,39,グループ,その他,1,5,5,5,1,1,3,4,1,1
女性,18,個人,旅行,1,4,1,3,2,2,2,3,2,2
男性,27,グループ,航空関係,2,5,1,1,2,2,3,4,2,2
男性,43,グループ,学生,2,3,3,3,2,2,2,3,2,2
女性,25,グループ,航空関係,2,2,2,4,2,2,2,3,2,2
女性,28,グループ,学生,4,4,4,4,4,4,5,5,4,4
男性,58,グループ,学生,1,1,1,1,3,5,4,4,5,3
男性,54,個人,旅行,5,3,5,1,4,4,2,5,4,5
男性,55,グループ,ビジネス,3,3,3,3,4,4,2,3,1,3
